"Enable Compatibility Html5","Enable Compatibility Html5"
"Valid Children","Valid Children"
"This allows you to specify what elements can be children of other elements.","This allows you to specify what elements can be children of other elements."
"Extended Valid Elements","Extended Valid Elements"
"This option allows you to set a rule for empty elements being valid.","This option allows you to set a rule for empty elements being valid."
